"author.steamid","Crusader Kings III","Crusader Kings III: Royal Court","Vote_change"
"76561198007275936",TRUE,FALSE,"Changed from positive to negative"
"76561198007286806",TRUE,TRUE,"Remained positive"
"76561198007301849",TRUE,TRUE,"Remained positive"
"76561198007322416",FALSE,FALSE,"Remained negative"
"76561198007345448",TRUE,TRUE,"Remained positive"
"76561198007376773",TRUE,TRUE,"Remained positive"
"76561198007393646",TRUE,FALSE,"Changed from positive to negative"
"76561198007394958",TRUE,FALSE,"Changed from positive to negative"
"76561198007483036",TRUE,FALSE,"Changed from positive to negative"
"76561198007501906",TRUE,FALSE,"Changed from positive to negative"
"76561198007613437",TRUE,FALSE,"Changed from positive to negative"
"76561198007692932",TRUE,TRUE,"Remained positive"
"76561198007717469",TRUE,TRUE,"Remained positive"
"76561198007732687",TRUE,TRUE,"Remained positive"
"76561198007740117",TRUE,TRUE,"Remained positive"
"76561198007887725",TRUE,FALSE,"Changed from positive to negative"
"76561198007906166",TRUE,TRUE,"Remained positive"
"76561198007933638",TRUE,FALSE,"Changed from positive to negative"
"76561198007940375",TRUE,FALSE,"Changed from positive to negative"
"76561198008258393",TRUE,FALSE,"Changed from positive to negative"
"76561198008295756",FALSE,FALSE,"Remained negative"
"76561198008427994",TRUE,TRUE,"Remained positive"
"76561198008445589",TRUE,FALSE,"Changed from positive to negative"
"76561198008548977",FALSE,FALSE,"Remained negative"
"76561198008743851",FALSE,FALSE,"Remained negative"
"76561198008795381",TRUE,TRUE,"Remained positive"
"76561198008871284",TRUE,FALSE,"Changed from positive to negative"
"76561198008878090",TRUE,FALSE,"Changed from positive to negative"
"76561198008948975",TRUE,TRUE,"Remained positive"
"76561198009028705",TRUE,FALSE,"Changed from positive to negative"
"76561198009145877",TRUE,TRUE,"Remained positive"
"76561198009165304",TRUE,TRUE,"Remained positive"
"76561198009190808",FALSE,FALSE,"Remained negative"
"76561198009315874",TRUE,TRUE,"Remained positive"
"76561198009388102",TRUE,TRUE,"Remained positive"
"76561198009393188",TRUE,FALSE,"Changed from positive to negative"
"76561198009507371",TRUE,TRUE,"Remained positive"
"76561198009546021",TRUE,TRUE,"Remained positive"
"76561198009767831",TRUE,FALSE,"Changed from positive to negative"
"76561198009922696",TRUE,TRUE,"Remained positive"
"76561198010206276",TRUE,TRUE,"Remained positive"
"76561198010221469",FALSE,FALSE,"Remained negative"
"76561198010369718",TRUE,FALSE,"Changed from positive to negative"
"76561198010421096",TRUE,FALSE,"Changed from positive to negative"
"76561198010628632",TRUE,TRUE,"Remained positive"
"76561198010905172",FALSE,FALSE,"Remained negative"
"76561198010972136",TRUE,TRUE,"Remained positive"
"76561198011256744",TRUE,FALSE,"Changed from positive to negative"
"76561198011305877",FALSE,FALSE,"Remained negative"
"76561198011461232",TRUE,TRUE,"Remained positive"
"76561198011545305",TRUE,TRUE,"Remained positive"
"76561198011609189",FALSE,FALSE,"Remained negative"
"76561198011663961",FALSE,FALSE,"Remained negative"
"76561198011812059",TRUE,FALSE,"Changed from positive to negative"
"76561198011939741",FALSE,FALSE,"Remained negative"
"76561198012092116",FALSE,TRUE,"Changed from negative to positive"
"76561198012144398",TRUE,TRUE,"Remained positive"
"76561198012162575",FALSE,FALSE,"Remained negative"
"76561198012283731",TRUE,TRUE,"Remained positive"
"76561198012499238",TRUE,TRUE,"Remained positive"
"76561198012689530",TRUE,FALSE,"Changed from positive to negative"
"76561198012731940",TRUE,TRUE,"Remained positive"
"76561198012910996",TRUE,TRUE,"Remained positive"
"76561198012943507",TRUE,TRUE,"Remained positive"
"76561198013244801",TRUE,FALSE,"Changed from positive to negative"
"76561198013304649",FALSE,FALSE,"Remained negative"
"76561198013401309",TRUE,TRUE,"Remained positive"
"76561198013948097",FALSE,FALSE,"Remained negative"
"76561198014114839",TRUE,TRUE,"Remained positive"
"76561198014225139",TRUE,TRUE,"Remained positive"
"76561198014396699",TRUE,TRUE,"Remained positive"
"76561198014400196",TRUE,TRUE,"Remained positive"
"76561198014447615",FALSE,FALSE,"Remained negative"
"76561198014634321",TRUE,FALSE,"Changed from positive to negative"
"76561198014744833",TRUE,TRUE,"Remained positive"
"76561198014753603",TRUE,TRUE,"Remained positive"
"76561198015248504",TRUE,FALSE,"Changed from positive to negative"
"76561198015374038",TRUE,TRUE,"Remained positive"
"76561198015453094",TRUE,FALSE,"Changed from positive to negative"
"76561198015546584",TRUE,TRUE,"Remained positive"
"76561198016789862",TRUE,TRUE,"Remained positive"
"76561198017020504",TRUE,TRUE,"Remained positive"
"76561198017081738",TRUE,FALSE,"Changed from positive to negative"
"76561198017108944",TRUE,FALSE,"Changed from positive to negative"
"76561198018040592",TRUE,TRUE,"Remained positive"
"76561198018277440",TRUE,TRUE,"Remained positive"
"76561198018547139",TRUE,TRUE,"Remained positive"
"76561198018664975",TRUE,FALSE,"Changed from positive to negative"
"76561198018808392",FALSE,TRUE,"Changed from negative to positive"
"76561198018847267",TRUE,TRUE,"Remained positive"
"76561198018875590",TRUE,TRUE,"Remained positive"
"76561198019046681",TRUE,TRUE,"Remained positive"
"76561198019093154",TRUE,TRUE,"Remained positive"
"76561198019222673",FALSE,FALSE,"Remained negative"
"76561198019524751",TRUE,FALSE,"Changed from positive to negative"
"76561198020240145",TRUE,FALSE,"Changed from positive to negative"
"76561198020356189",FALSE,FALSE,"Remained negative"
"76561198020602112",TRUE,TRUE,"Remained positive"
"76561198020741051",TRUE,FALSE,"Changed from positive to negative"
"76561198020835197",TRUE,TRUE,"Remained positive"
"76561198020882154",TRUE,FALSE,"Changed from positive to negative"
"76561198021028200",TRUE,TRUE,"Remained positive"
"76561198021028390",TRUE,TRUE,"Remained positive"
"76561198021554672",TRUE,TRUE,"Remained positive"
"76561198021630797",TRUE,TRUE,"Remained positive"
"76561198021695524",TRUE,FALSE,"Changed from positive to negative"
"76561198021707500",FALSE,FALSE,"Remained negative"
"76561198021875868",TRUE,FALSE,"Changed from positive to negative"
"76561198022000205",TRUE,TRUE,"Remained positive"
"76561198022125431",FALSE,FALSE,"Remained negative"
"76561198022668309",TRUE,TRUE,"Remained positive"
"76561198022669898",TRUE,TRUE,"Remained positive"
"76561198022682831",TRUE,TRUE,"Remained positive"
"76561198023050135",TRUE,TRUE,"Remained positive"
"76561198023276033",FALSE,FALSE,"Remained negative"
"76561198023432487",TRUE,TRUE,"Remained positive"
"76561198023624735",TRUE,FALSE,"Changed from positive to negative"
"76561198023642844",TRUE,FALSE,"Changed from positive to negative"
"76561198023716252",FALSE,FALSE,"Remained negative"
"76561198024579559",TRUE,FALSE,"Changed from positive to negative"
"76561198024811169",TRUE,TRUE,"Remained positive"
"76561198024820985",TRUE,FALSE,"Changed from positive to negative"
"76561198024871489",TRUE,FALSE,"Changed from positive to negative"
"76561198024925692",TRUE,TRUE,"Remained positive"
"76561198024950989",TRUE,FALSE,"Changed from positive to negative"
"76561198025210937",TRUE,TRUE,"Remained positive"
"76561198025556251",TRUE,FALSE,"Changed from positive to negative"
"76561198025895248",TRUE,TRUE,"Remained positive"
"76561198026608362",TRUE,FALSE,"Changed from positive to negative"
"76561198026618711",TRUE,TRUE,"Remained positive"
"76561198026640986",FALSE,FALSE,"Remained negative"
"76561198026649239",TRUE,FALSE,"Changed from positive to negative"
"76561198026704737",FALSE,FALSE,"Remained negative"
"76561198027170272",TRUE,TRUE,"Remained positive"
"76561198027182384",TRUE,TRUE,"Remained positive"
"76561198027261690",TRUE,TRUE,"Remained positive"
"76561198027272592",TRUE,FALSE,"Changed from positive to negative"
"76561198027310141",TRUE,TRUE,"Remained positive"
"76561198027493902",TRUE,TRUE,"Remained positive"
"76561198027793907",TRUE,TRUE,"Remained positive"
"76561198027885403",TRUE,FALSE,"Changed from positive to negative"
"76561198027902432",TRUE,TRUE,"Remained positive"
"76561198028024054",TRUE,TRUE,"Remained positive"
"76561198028172685",TRUE,TRUE,"Remained positive"
"76561198028516712",TRUE,FALSE,"Changed from positive to negative"
"76561198028528973",TRUE,TRUE,"Remained positive"
"76561198028570547",TRUE,TRUE,"Remained positive"
"76561198028845089",TRUE,TRUE,"Remained positive"
"76561198028849667",TRUE,FALSE,"Changed from positive to negative"
"76561198028876450",TRUE,FALSE,"Changed from positive to negative"
"76561198028993137",TRUE,TRUE,"Remained positive"
"76561198029066019",TRUE,TRUE,"Remained positive"
"76561198029980921",TRUE,TRUE,"Remained positive"
"76561198029995756",TRUE,FALSE,"Changed from positive to negative"
"76561198030004131",FALSE,FALSE,"Remained negative"
"76561198030012931",TRUE,FALSE,"Changed from positive to negative"
"76561198030063283",TRUE,FALSE,"Changed from positive to negative"
"76561198030364020",FALSE,FALSE,"Remained negative"
"76561198030389150",TRUE,FALSE,"Changed from positive to negative"
"76561198030691642",TRUE,FALSE,"Changed from positive to negative"
"76561198030740539",TRUE,TRUE,"Remained positive"
"76561198030765209",TRUE,TRUE,"Remained positive"
"76561198030793148",TRUE,FALSE,"Changed from positive to negative"
"76561198030844920",FALSE,FALSE,"Remained negative"
"76561198030870987",TRUE,TRUE,"Remained positive"
"76561198030911593",TRUE,TRUE,"Remained positive"
"76561198030922378",TRUE,TRUE,"Remained positive"
"76561198030925878",TRUE,TRUE,"Remained positive"
"76561198030947163",TRUE,TRUE,"Remained positive"
"76561198030957339",FALSE,FALSE,"Remained negative"
"76561198031032633",TRUE,TRUE,"Remained positive"
"76561198031044276",TRUE,FALSE,"Changed from positive to negative"
"76561198031061329",TRUE,FALSE,"Changed from positive to negative"
"76561198031061763",TRUE,TRUE,"Remained positive"
"76561198031069575",TRUE,FALSE,"Changed from positive to negative"
"76561198031213687",TRUE,TRUE,"Remained positive"
"76561198031377697",TRUE,TRUE,"Remained positive"
"76561198031407785",TRUE,FALSE,"Changed from positive to negative"
"76561198031540563",TRUE,TRUE,"Remained positive"
"76561198031577801",TRUE,TRUE,"Remained positive"
"76561198031755682",TRUE,FALSE,"Changed from positive to negative"
"76561198031900280",TRUE,TRUE,"Remained positive"
"76561198031937741",TRUE,FALSE,"Changed from positive to negative"
"76561198032028019",FALSE,FALSE,"Remained negative"
"76561198032067594",TRUE,TRUE,"Remained positive"
"76561198032214517",TRUE,TRUE,"Remained positive"
"76561198032290049",TRUE,TRUE,"Remained positive"
"76561198032779016",TRUE,TRUE,"Remained positive"
"76561198032969015",TRUE,TRUE,"Remained positive"
"76561198033049116",TRUE,FALSE,"Changed from positive to negative"
"76561198033084905",TRUE,FALSE,"Changed from positive to negative"
"76561198033463732",FALSE,FALSE,"Remained negative"
"76561198033684702",FALSE,FALSE,"Remained negative"
"76561198033696165",TRUE,TRUE,"Remained positive"
"76561198033739242",TRUE,FALSE,"Changed from positive to negative"
"76561198033775345",TRUE,FALSE,"Changed from positive to negative"
"76561198034082841",TRUE,TRUE,"Remained positive"
"76561198034475687",FALSE,FALSE,"Remained negative"
"76561198034553636",FALSE,FALSE,"Remained negative"
"76561198034700988",TRUE,TRUE,"Remained positive"
"76561198034790082",TRUE,FALSE,"Changed from positive to negative"
"76561198035303725",TRUE,TRUE,"Remained positive"
"76561198035497266",TRUE,TRUE,"Remained positive"
"76561198035671842",TRUE,TRUE,"Remained positive"
"76561198035679641",TRUE,TRUE,"Remained positive"
"76561198035703918",TRUE,TRUE,"Remained positive"
"76561198035704112",TRUE,TRUE,"Remained positive"
"76561198035705706",TRUE,FALSE,"Changed from positive to negative"
"76561198035892501",TRUE,FALSE,"Changed from positive to negative"
"76561198036143656",TRUE,TRUE,"Remained positive"
"76561198036422791",TRUE,TRUE,"Remained positive"
"76561198036465079",FALSE,FALSE,"Remained negative"
"76561198036581589",FALSE,FALSE,"Remained negative"
"76561198036837421",FALSE,TRUE,"Changed from negative to positive"
"76561198037157206",TRUE,FALSE,"Changed from positive to negative"
"76561198037204740",TRUE,FALSE,"Changed from positive to negative"
"76561198037464181",TRUE,TRUE,"Remained positive"
"76561198037583292",TRUE,TRUE,"Remained positive"
"76561198037831266",TRUE,TRUE,"Remained positive"
"76561198037947554",TRUE,TRUE,"Remained positive"
"76561198038148661",TRUE,FALSE,"Changed from positive to negative"
"76561198038307838",TRUE,TRUE,"Remained positive"
"76561198038542513",TRUE,TRUE,"Remained positive"
"76561198038576341",TRUE,FALSE,"Changed from positive to negative"
"76561198038706174",TRUE,FALSE,"Changed from positive to negative"
"76561198038793840",TRUE,FALSE,"Changed from positive to negative"
"76561198038806044",TRUE,FALSE,"Changed from positive to negative"
"76561198038807512",FALSE,FALSE,"Remained negative"
"76561198038865273",TRUE,FALSE,"Changed from positive to negative"
"76561198038887762",TRUE,FALSE,"Changed from positive to negative"
"76561198038966841",TRUE,FALSE,"Changed from positive to negative"
"76561198039088179",TRUE,TRUE,"Remained positive"
"76561198039246892",TRUE,TRUE,"Remained positive"
"76561198039305661",TRUE,TRUE,"Remained positive"
"76561198039363975",TRUE,FALSE,"Changed from positive to negative"
"76561198039547475",TRUE,TRUE,"Remained positive"
"76561198039667801",FALSE,FALSE,"Remained negative"
"76561198039827211",TRUE,TRUE,"Remained positive"
"76561198039828555",TRUE,FALSE,"Changed from positive to negative"
"76561198039944856",FALSE,FALSE,"Remained negative"
"76561198040017060",TRUE,FALSE,"Changed from positive to negative"
"76561198040156730",FALSE,FALSE,"Remained negative"
"76561198040225475",FALSE,TRUE,"Changed from negative to positive"
"76561198040304971",FALSE,FALSE,"Remained negative"
"76561198040433166",TRUE,TRUE,"Remained positive"
"76561198040609039",TRUE,TRUE,"Remained positive"
"76561198040662264",FALSE,FALSE,"Remained negative"
"76561198040691833",TRUE,TRUE,"Remained positive"
"76561198040702032",TRUE,FALSE,"Changed from positive to negative"
"76561198040753783",FALSE,TRUE,"Changed from negative to positive"
"76561198040795175",TRUE,TRUE,"Remained positive"
"76561198041035859",FALSE,FALSE,"Remained negative"
"76561198041371882",TRUE,TRUE,"Remained positive"
"76561198041406776",TRUE,FALSE,"Changed from positive to negative"
"76561198041530055",TRUE,FALSE,"Changed from positive to negative"
"76561198041901724",TRUE,TRUE,"Remained positive"
"76561198041922373",TRUE,FALSE,"Changed from positive to negative"
"76561198041999458",TRUE,TRUE,"Remained positive"
"76561198042093734",TRUE,FALSE,"Changed from positive to negative"
"76561198042297025",TRUE,FALSE,"Changed from positive to negative"
"76561198042480856",TRUE,FALSE,"Changed from positive to negative"
"76561198042485023",TRUE,TRUE,"Remained positive"
"76561198042521835",TRUE,TRUE,"Remained positive"
"76561198042634875",TRUE,FALSE,"Changed from positive to negative"
"76561198042753218",FALSE,FALSE,"Remained negative"
"76561198042917106",TRUE,FALSE,"Changed from positive to negative"
"76561198043177952",TRUE,TRUE,"Remained positive"
"76561198043348116",FALSE,FALSE,"Remained negative"
"76561198043797831",TRUE,FALSE,"Changed from positive to negative"
"76561198043822859",TRUE,FALSE,"Changed from positive to negative"
"76561198043883435",TRUE,TRUE,"Remained positive"
"76561198044014484",TRUE,TRUE,"Remained positive"
"76561198044045700",TRUE,TRUE,"Remained positive"
"76561198044051576",TRUE,TRUE,"Remained positive"
"76561198044091557",TRUE,TRUE,"Remained positive"
"76561198044186103",TRUE,TRUE,"Remained positive"
"76561198044608303",TRUE,TRUE,"Remained positive"
"76561198044870862",TRUE,TRUE,"Remained positive"
"76561198044874039",TRUE,FALSE,"Changed from positive to negative"
"76561198044907348",TRUE,TRUE,"Remained positive"
"76561198045005018",TRUE,FALSE,"Changed from positive to negative"
"76561198045117042",TRUE,TRUE,"Remained positive"
"76561198045191918",TRUE,FALSE,"Changed from positive to negative"
"76561198045281655",TRUE,TRUE,"Remained positive"
"76561198045382256",TRUE,FALSE,"Changed from positive to negative"
"76561198045407045",TRUE,FALSE,"Changed from positive to negative"
"76561198045587981",TRUE,TRUE,"Remained positive"
"76561198045912753",TRUE,TRUE,"Remained positive"
"76561198045996662",TRUE,TRUE,"Remained positive"
"76561198046164393",TRUE,FALSE,"Changed from positive to negative"
"76561198046354205",TRUE,TRUE,"Remained positive"
"76561198046383854",TRUE,TRUE,"Remained positive"
"76561198046387788",TRUE,TRUE,"Remained positive"
"76561198046850071",TRUE,TRUE,"Remained positive"
"76561198046896615",TRUE,TRUE,"Remained positive"
"76561198047780680",TRUE,TRUE,"Remained positive"
"76561198048563581",TRUE,TRUE,"Remained positive"
"76561198048877021",TRUE,TRUE,"Remained positive"
"76561198048923158",FALSE,FALSE,"Remained negative"
"76561198049031939",TRUE,FALSE,"Changed from positive to negative"
"76561198049316493",TRUE,FALSE,"Changed from positive to negative"
"76561198049421597",TRUE,TRUE,"Remained positive"
"76561198049518857",TRUE,TRUE,"Remained positive"
"76561198049784832",TRUE,TRUE,"Remained positive"
"76561198049840778",TRUE,TRUE,"Remained positive"
"76561198050028574",TRUE,TRUE,"Remained positive"
"76561198050100490",FALSE,FALSE,"Remained negative"
"76561198050265747",TRUE,TRUE,"Remained positive"
"76561198050365024",TRUE,TRUE,"Remained positive"
"76561198050507734",FALSE,FALSE,"Remained negative"
"76561198051089581",FALSE,FALSE,"Remained negative"
"76561198051377476",TRUE,FALSE,"Changed from positive to negative"
"76561198051599443",TRUE,TRUE,"Remained positive"
"76561198051700136",TRUE,TRUE,"Remained positive"
"76561198051845450",TRUE,TRUE,"Remained positive"
"76561198052312140",TRUE,FALSE,"Changed from positive to negative"
"76561198052638533",TRUE,TRUE,"Remained positive"
"76561198052736682",TRUE,TRUE,"Remained positive"
"76561198052894822",TRUE,TRUE,"Remained positive"
"76561198052900662",FALSE,FALSE,"Remained negative"
"76561198052936225",TRUE,TRUE,"Remained positive"
"76561198052957689",TRUE,FALSE,"Changed from positive to negative"
"76561198053091217",FALSE,FALSE,"Remained negative"
"76561198053092991",TRUE,TRUE,"Remained positive"
"76561198053476853",TRUE,TRUE,"Remained positive"
"76561198053608427",TRUE,FALSE,"Changed from positive to negative"
"76561198053804394",TRUE,TRUE,"Remained positive"
"76561198053821151",TRUE,TRUE,"Remained positive"
"76561198054121052",TRUE,TRUE,"Remained positive"
"76561198054342996",TRUE,FALSE,"Changed from positive to negative"
"76561198054382377",TRUE,TRUE,"Remained positive"
"76561198054386337",TRUE,FALSE,"Changed from positive to negative"
"76561198054421551",TRUE,TRUE,"Remained positive"
"76561198054513013",TRUE,FALSE,"Changed from positive to negative"
"76561198055235257",TRUE,FALSE,"Changed from positive to negative"
"76561198055280019",TRUE,TRUE,"Remained positive"
"76561198055571049",TRUE,TRUE,"Remained positive"
"76561198055684649",TRUE,FALSE,"Changed from positive to negative"
"76561198055813257",TRUE,TRUE,"Remained positive"
"76561198055859376",TRUE,TRUE,"Remained positive"
"76561198056058383",TRUE,FALSE,"Changed from positive to negative"
"76561198056331296",FALSE,TRUE,"Changed from negative to positive"
"76561198056436993",TRUE,TRUE,"Remained positive"
"76561198056650236",TRUE,TRUE,"Remained positive"
"76561198056763039",TRUE,TRUE,"Remained positive"
"76561198056782115",TRUE,FALSE,"Changed from positive to negative"
"76561198056853064",TRUE,FALSE,"Changed from positive to negative"
"76561198057636263",FALSE,FALSE,"Remained negative"
"76561198057862114",TRUE,FALSE,"Changed from positive to negative"
"76561198057926756",TRUE,TRUE,"Remained positive"
"76561198058144692",TRUE,TRUE,"Remained positive"
"76561198058235922",TRUE,FALSE,"Changed from positive to negative"
"76561198058333116",FALSE,FALSE,"Remained negative"
"76561198058404353",FALSE,FALSE,"Remained negative"
"76561198058437686",TRUE,TRUE,"Remained positive"
"76561198058554133",TRUE,FALSE,"Changed from positive to negative"
"76561198058583821",TRUE,TRUE,"Remained positive"
"76561198058699167",FALSE,FALSE,"Remained negative"
"76561198058764663",TRUE,TRUE,"Remained positive"
"76561198058819175",TRUE,FALSE,"Changed from positive to negative"
"76561198058957834",FALSE,FALSE,"Remained negative"
"76561198059204236",TRUE,FALSE,"Changed from positive to negative"
"76561198059243745",TRUE,FALSE,"Changed from positive to negative"
"76561198059385273",FALSE,FALSE,"Remained negative"
"76561198059527502",TRUE,TRUE,"Remained positive"
"76561198059635872",TRUE,TRUE,"Remained positive"
"76561198059890697",TRUE,FALSE,"Changed from positive to negative"
"76561198060080896",TRUE,TRUE,"Remained positive"
"76561198060814023",FALSE,FALSE,"Remained negative"
"76561198060824923",TRUE,TRUE,"Remained positive"
"76561198061137771",TRUE,FALSE,"Changed from positive to negative"
"76561198061391749",TRUE,TRUE,"Remained positive"
"76561198061428507",TRUE,TRUE,"Remained positive"
"76561198061566608",FALSE,FALSE,"Remained negative"
"76561198061848123",TRUE,TRUE,"Remained positive"
"76561198061904412",TRUE,TRUE,"Remained positive"
"76561198062048242",FALSE,FALSE,"Remained negative"
"76561198062203617",TRUE,FALSE,"Changed from positive to negative"
"76561198062474572",TRUE,FALSE,"Changed from positive to negative"
"76561198062644419",FALSE,TRUE,"Changed from negative to positive"
"76561198062672805",TRUE,TRUE,"Remained positive"
"76561198062919469",TRUE,TRUE,"Remained positive"
"76561198063225648",TRUE,TRUE,"Remained positive"
"76561198063405963",FALSE,FALSE,"Remained negative"
"76561198063592684",TRUE,FALSE,"Changed from positive to negative"
"76561198063628246",TRUE,TRUE,"Remained positive"
"76561198063701378",TRUE,FALSE,"Changed from positive to negative"
"76561198063804025",TRUE,TRUE,"Remained positive"
"76561198063845023",TRUE,TRUE,"Remained positive"
"76561198063889709",TRUE,TRUE,"Remained positive"
"76561198063968636",TRUE,TRUE,"Remained positive"
"76561198063992462",TRUE,TRUE,"Remained positive"
"76561198064162552",FALSE,FALSE,"Remained negative"
"76561198064439937",TRUE,FALSE,"Changed from positive to negative"
